hex,count_good_aircraft,count_bad_aircraft
8401217ffffffff,1,0
8401221ffffffff,1,0
8401227ffffffff,1,0
8401233ffffffff,4,0
8401239ffffffff,2,0
840123bffffffff,1,0
8401259ffffffff,2,0
840125dffffffff,1,0
8401289ffffffff,1,0
84012c5ffffffff,1,0
84012c7ffffffff,1,0
84012d5ffffffff,1,0
84012e9ffffffff,1,0
8401351ffffffff,3,0
8401359ffffffff,2,0
840135bffffffff,1,0
840135dffffffff,6,1
8402491ffffffff,5,0
8402493ffffffff,2,0
8402499ffffffff,4,0
840249bffffffff,2,0
840249dffffffff,3,0
84024d1ffffffff,1,0
84024d3ffffffff,1,0
84024d5ffffffff,18,0
84024d7ffffffff,2,0
84024d9ffffffff,18,0
84024dbffffffff,2,0
84024ddffffffff,17,0
8402691ffffffff,16,0
8402697ffffffff,12,0
8402699ffffffff,16,0
84026b3ffffffff,15,0
84026b7ffffffff,1,0
84026bbffffffff,15,0
8403209ffffffff,1,0
84032ddffffffff,0,1
840624bffffffff,1,0
8406259ffffffff,6,0
840625bffffffff,2,0
840625dffffffff,9,0
8406283ffffffff,8,0
8406287ffffffff,1,0
840628bffffffff,1,0
8406291ffffffff,30,0
8406293ffffffff,22,0
8406297ffffffff,19,0
8406299ffffffff,26,0
840629bffffffff,19,0
840629dffffffff,14,0
84062c1ffffffff,1,0
84062c3ffffffff,3,0
84062c9ffffffff,3,0
84062cbffffffff,15,0
84062d3ffffffff,17,0
84062d7ffffffff,11,0
84062d9ffffffff,2,0
8406601ffffffff,5,0
8406603ffffffff,5,0
8406605ffffffff,15,0
8406607ffffffff,1,0
8406609ffffffff,4,0
840660bffffffff,40,0
840660dffffffff,71,0
840661dffffffff,1,0
8406621ffffffff,70,0
8406623ffffffff,1,0
8406625ffffffff,8,0
8406627ffffffff,23,0
8406629ffffffff,81,0
840662bffffffff,6,0
840662dffffffff,9,0
8406639ffffffff,4,0
8406641ffffffff,87,0
8406643ffffffff,3,0
8406645ffffffff,23,0
8406647ffffffff,82,0
8406649ffffffff,90,0
840664bffffffff,4,0
840664dffffffff,14,1
8406651ffffffff,38,0
8406655ffffffff,43,0
8406657ffffffff,19,0
8406659ffffffff,40,0
840665bffffffff,1,0
840665dffffffff,8,0
8406661ffffffff,15,0
8406663ffffffff,98,0
8406665ffffffff,57,0
8406667ffffffff,13,0
8406669ffffffff,21,0
840666bffffffff,102,0
840666dffffffff,61,0
8406703ffffffff,11,0
8406709ffffffff,2,0
840670bffffffff,1,0
8406715ffffffff,13,0
8406719ffffffff,8,0
840671dffffffff,60,0
8406741ffffffff,27,0
8406743ffffffff,2,0
8406745ffffffff,13,0
8406747ffffffff,6,0
8406749ffffffff,62,0
840674bffffffff,5,0
840674dffffffff,15,0
8406751ffffffff,63,0
8406753ffffffff,8,0
8406757ffffffff,76,0
8406759ffffffff,64,0
840675bffffffff,10,0
840675dffffffff,2,0
8406769ffffffff,7,0
840676bffffffff,6,0
840676dffffffff,2,0
8406983ffffffff,12,0
8406987ffffffff,6,0
840698bffffffff,1,0
8406997ffffffff,1,0
84069a3ffffffff,2,0
84069a5ffffffff,17,0
84069a7ffffffff,1,0
84069a9ffffffff,14,0
84069adffffffff,17,0
84069b1ffffffff,7,0
84069b3ffffffff,3,0
84069b7ffffffff,12,0
84069b9ffffffff,6,0
84069bbffffffff,3,0
84069bdffffffff,6,0
84069e3ffffffff,5,0
84069e7ffffffff,1,0
8406c01ffffffff,6,0
8406c03ffffffff,47,0
8406c05ffffffff,10,0
8406c09ffffffff,2,0
8406c0bffffffff,32,0
8406c15ffffffff,7,0
8406c17ffffffff,1,0
8406c19ffffffff,1,0
8406c1dffffffff,8,0
8406c21ffffffff,15,0
8406c23ffffffff,8,0
8406c25ffffffff,9,0
8406c27ffffffff,13,0
8406c29ffffffff,10,0
8406c2bffffffff,16,0
8406c2dffffffff,5,0
8406c31ffffffff,50,0
8406c33ffffffff,3,0
8406c35ffffffff,7,0
8406c37ffffffff,51,0
8406c39ffffffff,48,0
8406c3bffffffff,1,0
8406c3dffffffff,2,0
8406c61ffffffff,10,0
8406c63ffffffff,7,0
8406c65ffffffff,10,0
8406c67ffffffff,4,0
8406c69ffffffff,2,0
8406c6bffffffff,1,0
8406c6dffffffff,7,0
8406c81ffffffff,1,0
8406c83ffffffff,114,0
8406c85ffffffff,84,0
8406c87ffffffff,2,0
8406c8bffffffff,2,0
8406c91ffffffff,2,0
8406c93ffffffff,6,0
8406c95ffffffff,116,0
8406c99ffffffff,10,0
8406c9bffffffff,43,0
8406c9dffffffff,82,0
8406ca1ffffffff,4,0
8406ca3ffffffff,75,0
8406ca5ffffffff,48,0
8406ca7ffffffff,7,0
8406ca9ffffffff,3,0
8406cabffffffff,81,0
8406cadffffffff,61,0
8406cb1ffffffff,90,0
8406cb3ffffffff,6,0
8406cb5ffffffff,13,0
8406cb7ffffffff,82,0
8406cb9ffffffff,116,0
8406cbbffffffff,69,0
8406cbdffffffff,3,0
8406cd3ffffffff,6,0
8406cd7ffffffff,2,0
8406ce1ffffffff,70,0
8406ce3ffffffff,2,0
8406ce5ffffffff,72,0
8406ce7ffffffff,63,0
8406ce9ffffffff,46,0
8406cedffffffff,65,0
8406d01ffffffff,1,0
8406d03ffffffff,3,0
8406d0bffffffff,2,0
8406d11ffffffff,5,0
8406d13ffffffff,6,0
8406d15ffffffff,8,0
8406d17ffffffff,5,0
8406d19ffffffff,8,0
8406d1bffffffff,8,0
8406d1dffffffff,8,0
8406d31ffffffff,1,0
8406d33ffffffff,8,0
8406d39ffffffff,1,0
8406d3bffffffff,7,0
8406d51ffffffff,5,0
8406d53ffffffff,10,0
8406d55ffffffff,2,0
8406d57ffffffff,9,0
8406d59ffffffff,1,0
8406d5bffffffff,9,0
8406d5dffffffff,1,0
8406d81ffffffff,6,0
8406d83ffffffff,25,0
8406d85ffffffff,4,0
8406d87ffffffff,10,0
8406d89ffffffff,7,0
8406d8bffffffff,24,0
8406d8dffffffff,1,0
8406d91ffffffff,57,0
8406d93ffffffff,10,0
8406d95ffffffff,30,0
8406d97ffffffff,57,0
8406d99ffffffff,56,0
8406d9bffffffff,10,0
8406d9dffffffff,32,0
