hex,count_good_aircraft,count_bad_aircraft
8406d85ffffffff,23,0
8406d87ffffffff,23,0
8406d89ffffffff,21,0
8406d8bffffffff,16,0
8406d8dffffffff,10,0
8406d91ffffffff,14,0
8406d93ffffffff,16,0
8406d95ffffffff,19,0
8406d97ffffffff,15,0
8406d99ffffffff,15,0
8406d9bffffffff,15,0
8406d9dffffffff,22,0
8406da1ffffffff,12,0
8406da3ffffffff,25,0
8406da5ffffffff,8,0
8406da7ffffffff,13,0
8406da9ffffffff,14,0
8406dabffffffff,23,0
8406dadffffffff,8,0
8406db1ffffffff,27,0
8406db3ffffffff,9,0
8406db5ffffffff,6,0
8406db7ffffffff,32,0
8406db9ffffffff,13,0
8406dbbffffffff,20,0
8406dbdffffffff,8,0
8406dc1ffffffff,18,0
8406dc3ffffffff,23,0
8406dc5ffffffff,16,0
8406dc7ffffffff,15,0
8406dc9ffffffff,18,0
8406dcbffffffff,25,0
8406dcdffffffff,18,0
8406dd1ffffffff,22,0
8406dd3ffffffff,17,0
8406dd5ffffffff,16,0
8406dd7ffffffff,24,0
8406dd9ffffffff,11,0
8406ddbffffffff,32,0
8406dddffffffff,38,0
8406de1ffffffff,11,0
8406de3ffffffff,14,0
8406de5ffffffff,16,0
8406de7ffffffff,12,0
8406de9ffffffff,21,0
8406debffffffff,16,0
8406dedffffffff,16,0
8406f15ffffffff,2,0
8406f17ffffffff,3,0
8406f33ffffffff,2,0
8406f37ffffffff,1,0
8407091ffffffff,5,0
8407093ffffffff,3,0
8407095ffffffff,8,0
8407097ffffffff,5,0
8407099ffffffff,1,0
840709bffffffff,5,0
84070b3ffffffff,5,0
84070b7ffffffff,13,0
84070b9ffffffff,1,0
84070bbffffffff,1,0
8407401ffffffff,37,0
8407403ffffffff,31,0
8407405ffffffff,31,0
8407407ffffffff,36,0
8407409ffffffff,21,0
840740bffffffff,39,0
840740dffffffff,34,0
8407411ffffffff,61,0
8407413ffffffff,43,0
8407415ffffffff,77,0
8407417ffffffff,59,1
8407419ffffffff,59,0
840741bffffffff,33,0
840741dffffffff,73,0
8407421ffffffff,16,0
8407423ffffffff,44,0
8407425ffffffff,11,0
8407427ffffffff,23,0
8407429ffffffff,19,0
840742bffffffff,46,0
840742dffffffff,13,0
8407431ffffffff,49,0
8407433ffffffff,74,0
8407435ffffffff,30,0
8407437ffffffff,49,0
8407439ffffffff,34,0
840743bffffffff,79,0
840743dffffffff,30,0
8407441ffffffff,21,0
8407443ffffffff,21,0
8407445ffffffff,10,0
8407447ffffffff,28,0
8407449ffffffff,17,0
840744bffffffff,20,0
840744dffffffff,12,0
8407451ffffffff,26,0
8407453ffffffff,30,0
8407455ffffffff,39,0
8407457ffffffff,61,0
840745dffffffff,13,0
8407461ffffffff,10,0
8407463ffffffff,11,0
8407465ffffffff,8,0
8407467ffffffff,14,0
8407469ffffffff,10,0
840746bffffffff,9,0
840746dffffffff,8,0
8407481ffffffff,78,0
8407483ffffffff,6,0
8407485ffffffff,13,0
8407487ffffffff,75,0
8407489ffffffff,85,0
840748bffffffff,6,0
840748dffffffff,17,0
8407491ffffffff,7,0
8407495ffffffff,9,0
8407497ffffffff,5,0
840749dffffffff,2,0
84074a1ffffffff,15,0
84074a3ffffffff,69,0
84074a5ffffffff,27,0
84074a7ffffffff,14,0
84074a9ffffffff,16,0
84074abffffffff,70,0
84074adffffffff,30,0
84074b1ffffffff,6,0
84074b3ffffffff,42,0
84074b5ffffffff,13,0
84074b7ffffffff,8,0
84074b9ffffffff,9,0
84074bbffffffff,38,0
84074bdffffffff,79,0
84074c1ffffffff,11,0
84074c3ffffffff,62,0
84074c5ffffffff,45,0
84074c7ffffffff,10,0
84074c9ffffffff,10,0
84074cbffffffff,20,0
84074cdffffffff,51,0
84074d5ffffffff,9,0
84074ddffffffff,19,0
84074e1ffffffff,52,0
84074e3ffffffff,14,0
84074e5ffffffff,59,0
84074e7ffffffff,39,0
84074e9ffffffff,57,1
84074ebffffffff,29,0
84074edffffffff,66,0
8407501ffffffff,7,0
8407503ffffffff,4,0
8407509ffffffff,7,0
840750bffffffff,5,0
840750dffffffff,5,0
8407511ffffffff,13,0
8407513ffffffff,17,0
8407517ffffffff,7,0
8407519ffffffff,11,0
840751bffffffff,13,0
840751dffffffff,5,0
8407531ffffffff,5,0
8407533ffffffff,7,0
8407535ffffffff,3,0
8407537ffffffff,2,0
8407539ffffffff,3,0
840753bffffffff,8,0
8407541ffffffff,8,0
8407543ffffffff,5,0
8407545ffffffff,6,0
8407547ffffffff,5,0
8407549ffffffff,7,0
840754bffffffff,4,0
840754dffffffff,7,0
8407551ffffffff,6,0
8407553ffffffff,11,0
8407555ffffffff,6,0
8407557ffffffff,5,0
8407559ffffffff,6,0
840755bffffffff,14,0
840755dffffffff,7,0
8407561ffffffff,7,0
8407563ffffffff,3,0
8407565ffffffff,2,0
8407567ffffffff,6,0
8407569ffffffff,4,0
840756bffffffff,6,0
840756dffffffff,2,0
8407581ffffffff,23,0
8407583ffffffff,38,0
8407585ffffffff,34,0
8407587ffffffff,32,0
8407589ffffffff,25,0
840758bffffffff,41,0
840758dffffffff,38,0
8407591ffffffff,54,0
8407593ffffffff,21,0
8407595ffffffff,54,0
8407597ffffffff,47,0
8407599ffffffff,43,0
840759bffffffff,10,0
840759dffffffff,60,0
84075a1ffffffff,22,0
84075a3ffffffff,28,0
84075a5ffffffff,12,0
84075a7ffffffff,17,0
84075a9ffffffff,15,0
84075abffffffff,41,0
84075adffffffff,13,0
84075b1ffffffff,27,0
84075b3ffffffff,70,0
84075b5ffffffff,23,0
84075b7ffffffff,23,0
84075b9ffffffff,31,0
84075bbffffffff,47,0
84075bdffffffff,33,0
84075c1ffffffff,30,0
84075c3ffffffff,32,0
84075c5ffffffff,24,0
84075c7ffffffff,31,0
84075c9ffffffff,32,0
84075cbffffffff,30,0
84075cdffffffff,29,0
84075d1ffffffff,106,1
84075d3ffffffff,25,0
84075d5ffffffff,38,0
84075d7ffffffff,92,0
84075d9ffffffff,96,0
84075dbffffffff,58,0
84075ddffffffff,53,0
84075e1ffffffff,16,0
84075e3ffffffff,18,0
84075e5ffffffff,8,0
84075e7ffffffff,9,0
84075e9ffffffff,26,0
84075ebffffffff,16,0
84075edffffffff,15,0
8407627ffffffff,4,0
8407631ffffffff,2,0
8407633ffffffff,1,0
8407635ffffffff,4,0
8407637ffffffff,22,0
8407649ffffffff,1,0
840764dffffffff,2,0
84076a1ffffffff,6,0
84076a3ffffffff,3,0
84076a5ffffffff,28,0
84076a7ffffffff,38,0
84076abffffffff,1,0
84076adffffffff,4,0
84076b5ffffffff,2,0
84076b7ffffffff,14,0
8407707ffffffff,1,0
8407711ffffffff,5,0
8407713ffffffff,9,0
8407715ffffffff,3,0
8407717ffffffff,11,0
840771bffffffff,3,0
8407721ffffffff,5,0
8407723ffffffff,8,0
8407725ffffffff,3,0
8407727ffffffff,9,0
840772bffffffff,3,0
8407731ffffffff,2,0
8407733ffffffff,8,0
8407735ffffffff,4,0
8407737ffffffff,6,0
8407739ffffffff,3,0
840773bffffffff,7,0
840773dffffffff,6,0
8408001ffffffff,3,0
8408005ffffffff,7,0
8408007ffffffff,11,0
8408009ffffffff,1,0
840800bffffffff,4,0
840800dffffffff,3,0
8408021ffffffff,26,0
8408023ffffffff,35,0
8408025ffffffff,54,0
8408027ffffffff,42,0
8408029ffffffff,16,0
840802bffffffff,20,0
840802dffffffff,27,0
8408031ffffffff,28,0
8408033ffffffff,26,0
8408035ffffffff,52,0
8408037ffffffff,52,0
8408039ffffffff,14,0
840803bffffffff,12,0
840803dffffffff,21,0
8408041ffffffff,1,0
8408043ffffffff,1,0
8408045ffffffff,1,0
8408047ffffffff,1,0
840804bffffffff,2,0
8408053ffffffff,5,0
8408057ffffffff,3,0
840805bffffffff,4,0
8408061ffffffff,3,0
8408063ffffffff,4,0
8408065ffffffff,6,0
8408067ffffffff,3,0
8408069ffffffff,2,0
840806dffffffff,6,0
8408101ffffffff,44,0
8408103ffffffff,5,0
8408105ffffffff,24,0
8408107ffffffff,4,0
8408109ffffffff,58,0
840810bffffffff,53,0
840810dffffffff,67,0
8408111ffffffff,2,0
8408113ffffffff,1,0
8408115ffffffff,4,0
8408117ffffffff,3,0
8408119ffffffff,45,0
840811bffffffff,5,0
840811dffffffff,8,0
8408121ffffffff,4,0
8408123ffffffff,9,0
8408125ffffffff,8,0
8408127ffffffff,7,0
8408129ffffffff,15,0
840812bffffffff,2,0
840812dffffffff,9,0
8408131ffffffff,14,0
8408133ffffffff,20,0
8408135ffffffff,15,0
8408137ffffffff,16,0
8408139ffffffff,5,0
840813bffffffff,11,0
840813dffffffff,6,0
8408141ffffffff,19,0
8408143ffffffff,25,0
8408145ffffffff,16,0
8408147ffffffff,27,0
8408149ffffffff,25,0
840814bffffffff,22,0
840814dffffffff,32,0
8408151ffffffff,62,0
8408153ffffffff,42,0
8408155ffffffff,42,0
8408157ffffffff,74,0
8408159ffffffff,16,0
840815bffffffff,23,0
840815dffffffff,26,0
8408161ffffffff,53,0
8408163ffffffff,61,0
8408165ffffffff,62,0
8408167ffffffff,61,0
8408169ffffffff,25,0
840816bffffffff,47,0
840816dffffffff,40,0
8408181ffffffff,1,0
8408183ffffffff,1,0
8408185ffffffff,4,0
8408187ffffffff,1,0
8408189ffffffff,5,0
840818bffffffff,1,0
840818dffffffff,4,0
8408191ffffffff,2,0
8408193ffffffff,1,0
8408195ffffffff,2,0
8408197ffffffff,1,0
8408199ffffffff,2,0
840819bffffffff,1,0
840819dffffffff,2,0
84081a1ffffffff,5,0
84081a3ffffffff,4,0
84081a5ffffffff,1,0
84081a7ffffffff,2,0
84081a9ffffffff,4,0
84081abffffffff,3,0
84081adffffffff,2,0
84081b1ffffffff,3,0
84081b3ffffffff,3,0
84081b5ffffffff,5,0
84081b7ffffffff,5,0
84081b9ffffffff,3,0
84081bbffffffff,2,0
84081bdffffffff,3,0
84081c1ffffffff,2,0
84081c3ffffffff,2,0
84081c5ffffffff,1,0
84081c7ffffffff,1,0
84081c9ffffffff,43,0
84081cbffffffff,42,0
84081cdffffffff,2,0
84081d1ffffffff,9,0
84081d3ffffffff,5,0
84081d5ffffffff,2,0
84081d7ffffffff,2,0
84081d9ffffffff,50,0
84081dbffffffff,50,0
84081ddffffffff,28,0
84081e1ffffffff,2,0
84081e3ffffffff,1,0
84081e5ffffffff,5,0
84081e7ffffffff,3,0
84081e9ffffffff,1,0
84081ebffffffff,2,0
84081edffffffff,6,0
8408201ffffffff,1,0
8408207ffffffff,1,0
840820bffffffff,2,0
8408211ffffffff,4,0
8408217ffffffff,4,0
8408219ffffffff,3,0
840821bffffffff,1,0
8408223ffffffff,1,0
8408225ffffffff,1,0
8408227ffffffff,1,0
840822bffffffff,1,0
840822dffffffff,2,0
8408231ffffffff,2,0
8408235ffffffff,1,0
8408237ffffffff,2,0
8408239ffffffff,1,0
840823bffffffff,1,0
840824dffffffff,1,0
8408251ffffffff,1,0
8408253ffffffff,2,0
8408257ffffffff,2,0
8408259ffffffff,1,0
840825bffffffff,2,0
8408261ffffffff,1,0
8408265ffffffff,10,0
8408267ffffffff,4,0
8408269ffffffff,2,0
840826dffffffff,8,0
8408281ffffffff,4,0
8408283ffffffff,21,0
8408285ffffffff,2,0
8408287ffffffff,16,0
8408289ffffffff,3,0
840828bffffffff,1,0
8408291ffffffff,42,0
8408293ffffffff,43,0
8408295ffffffff,42,0
8408297ffffffff,48,0
8408299ffffffff,24,0
840829bffffffff,53,0
840829dffffffff,23,0
84082a1ffffffff,9,0
84082a3ffffffff,28,0
84082a5ffffffff,10,0
84082a7ffffffff,26,0
84082a9ffffffff,1,0
84082abffffffff,11,0
84082adffffffff,3,0
84082b1ffffffff,54,0
84082b3ffffffff,4,0
84082b5ffffffff,54,0
84082b7ffffffff,4,0
84082b9ffffffff,38,0
84082bbffffffff,51,0
84082bdffffffff,32,0
84082c3ffffffff,3,0
84082c7ffffffff,1,0
84082cbffffffff,3,0
84082d1ffffffff,2,0
84082d3ffffffff,4,0
84082d5ffffffff,2,0
84082d7ffffffff,2,0
84082d9ffffffff,1,0
84082dbffffffff,5,0
84082ddffffffff,1,0
84082e3ffffffff,1,0
84082e5ffffffff,3,0
84082e7ffffffff,1,0
84082ebffffffff,1,0
84082edffffffff,3,0
8408301ffffffff,12,0
8408303ffffffff,6,0
8408305ffffffff,11,0
8408307ffffffff,18,0
8408309ffffffff,3,0
840830bffffffff,10,0
840830dffffffff,4,0
8408311ffffffff,2,0
8408313ffffffff,1,0
8408315ffffffff,2,0
8408317ffffffff,2,0
8408319ffffffff,1,0
840831bffffffff,2,0
840831dffffffff,5,0
8408321ffffffff,15,0
8408323ffffffff,19,0
8408325ffffffff,30,0
8408327ffffffff,28,0
8408329ffffffff,20,0
840832bffffffff,25,0
840832dffffffff,23,0
8408331ffffffff,8,0
8408333ffffffff,6,0
8408335ffffffff,20,0
8408337ffffffff,16,0
8408339ffffffff,9,0
840833bffffffff,3,0
840833dffffffff,19,0
8408341ffffffff,20,0
8408343ffffffff,1,0
8408345ffffffff,23,0
8408347ffffffff,4,0
8408349ffffffff,22,0
840834bffffffff,2,0
840834dffffffff,13,0
8408351ffffffff,11,0
8408353ffffffff,4,0
8408355ffffffff,11,0
8408357ffffffff,6,0
8408359ffffffff,12,0
840835bffffffff,5,0
840835dffffffff,3,0
8408361ffffffff,26,0
8408363ffffffff,10,0
8408365ffffffff,32,0
8408367ffffffff,43,0
8408369ffffffff,6,0
840836bffffffff,19,0
840836dffffffff,24,0
8408801ffffffff,43,0
8408803ffffffff,33,0
8408805ffffffff,170,0
8408807ffffffff,16,0
8408809ffffffff,19,0
840880bffffffff,33,0
840880dffffffff,106,0
8408811ffffffff,8,0
